,модель,цена usd,год производства,обьем двигателя,КПП,цвет,кузов,топливо,пробег,расположение руля,локация
0,55,85000.0,2023.0,18,0,2,1,0,1.0,0,9
1,79,45000.0,2013.0,25,0,21,1,0,209214.0,0,9
2,89,100000.0,2014.0,25,0,16,8,0,37000.0,0,9
3,48,25500.0,2016.0,16,0,2,1,0,176705.0,0,9
4,56,33500.0,2010.0,18,0,16,1,0,156000.0,0,9
5,55,34400.0,2014.0,21,0,21,1,2,160000.0,0,9
6,8,16000.0,2014.0,10,1,16,9,1,280000.0,0,9
7,75,21500.0,2016.0,10,1,21,1,1,193000.0,0,9
8,48,42999.0,2020.0,10,0,21,1,1,76000.0,0,9
9,17,31999.0,2023.0,10,0,21,9,0,7000.0,0,9
10,55,89700.0,2018.0,22,0,21,1,0,59456.0,0,9
11,17,23000.0,2019.0,10,0,20,9,0,90000.0,0,9
12,17,18800.0,2018.0,10,0,21,9,0,200000.0,0,9
13,48,40999.0,2020.0,10,0,2,1,1,119413.0,0,9
14,55,31500.0,2004.0,23,0,16,1,0,350000.0,0,9
15,37,12850.0,2004.0,13,0,2,6,0,77000.0,1,9
16,17,25900.0,2018.0,10,1,2,9,1,88000.0,0,9
17,48,45000.0,2024.0,10,0,21,1,1,5.0,0,9
18,75,33000.0,2024.0,7,1,2,1,0,30.0,0,9
19,75,18700.0,2018.0,10,0,21,1,0,79000.0,0,9
20,55,85000.0,2023.0,18,0,2,1,0,1.0,0,9
21,79,45000.0,2013.0,25,0,21,1,0,209214.0,0,9
22,89,100000.0,2014.0,25,0,16,8,0,37000.0,0,9
23,48,25500.0,2016.0,16,0,2,1,0,176705.0,0,9
24,56,33500.0,2010.0,18,0,16,1,0,156000.0,0,9
25,55,34400.0,2014.0,21,0,21,1,2,160000.0,0,9
26,8,16000.0,2014.0,10,1,16,9,1,280000.0,0,9
27,75,21500.0,2016.0,10,1,21,1,1,193000.0,0,9
28,48,42999.0,2020.0,10,0,21,1,1,76000.0,0,9
29,17,31999.0,2023.0,10,0,21,9,0,7000.0,0,9
30,55,89700.0,2018.0,22,0,21,1,0,59456.0,0,9
31,17,23000.0,2019.0,10,0,20,9,0,90000.0,0,9
32,17,18800.0,2018.0,10,0,21,9,0,200000.0,0,9
33,48,40999.0,2020.0,10,0,2,1,1,119413.0,0,9
34,55,31500.0,2004.0,23,0,16,1,0,350000.0,0,9
35,37,12850.0,2004.0,13,0,2,6,0,77000.0,1,9
36,17,25900.0,2018.0,10,1,2,9,1,88000.0,0,9
37,48,45000.0,2024.0,10,0,21,1,1,5.0,0,9
38,75,33000.0,2024.0,7,1,2,1,0,30.0,0,9
39,75,18700.0,2018.0,10,0,21,1,0,79000.0,0,9
40,17,18800.0,2018.0,10,0,21,9,0,75000.0,0,9
41,48,30500.0,2018.0,16,1,21,1,1,112654.0,0,9
42,70,14500.0,2016.0,6,0,21,5,1,184000.0,0,9
43,17,24000.0,2018.0,10,1,15,9,1,82700.0,0,9
44,55,27000.0,2012.0,21,0,2,1,2,185000.0,0,9
45,17,15200.0,2015.0,10,1,16,9,1,280000.0,0,9
46,55,19500.0,2003.0,23,0,20,1,0,250000.0,0,9
47,17,32500.0,2021.0,10,1,11,9,1,29500.0,0,9
48,17,9800.0,2007.0,16,0,21,9,0,214000.0,0,9
49,17,18000.0,2018.0,10,0,21,9,1,40000.0,0,9
50,25,12000.0,2019.0,4,1,16,9,1,75000.0,0,9
51,48,11900.0,2003.0,13,0,21,1,0,100000.0,0,9
52,17,15500.0,2012.0,10,1,15,9,1,220480.0,0,9
53,89,67905.0,2021.0,25,0,2,7,0,39000.0,0,9
54,17,20000.0,2018.0,10,0,16,9,0,129874.0,0,9
55,104,3000.0,2000.0,2,2,16,3,0,370000.0,0,9
56,55,93000.0,2021.0,15,0,2,1,0,61000.0,0,9
57,0,32900.0,2019.0,18,0,2,1,0,69900.0,0,9
58,17,18500.0,2018.0,10,0,2,9,0,88000.0,0,9
59,56,18000.0,2004.0,13,0,16,1,2,320000.0,0,9
60,75,14000.0,2009.0,10,0,15,1,0,217261.0,0,9
61,79,30000.0,2008.0,25,0,16,1,0,212000.0,0,9
62,79,32500.0,2007.0,23,0,16,1,0,190000.0,0,9
63,9,6400.0,2001.0,6,2,9,10,0,90000.0,0,9
64,17,39800.0,2024.0,7,1,21,9,1,20.0,0,9
65,89,50800.0,2017.0,25,0,2,7,0,154850.0,0,9
67,70,21500.0,2021.0,6,0,15,5,1,28000.0,0,9
68,2,9483.0,2003.0,6,0,2,9,0,123654.0,1,9
69,17,8400.0,2003.0,9,0,2,9,0,368539.0,0,9
70,25,5690.0,2004.0,5,2,17,9,0,300000.0,0,9
71,17,18950.0,2018.0,10,0,21,9,0,125000.0,0,9
72,17,21900.0,2019.0,10,0,2,9,0,88513.0,0,9
73,56,35000.0,2015.0,11,0,2,1,0,76589.0,0,43
74,0,37800.0,2019.0,18,0,15,1,0,39000.0,0,9
75,52,7600.0,2002.0,9,0,2,3,0,202142.0,1,9
76,65,5690.0,2005.0,0,0,2,13,0,175000.0,1,43
77,75,18900.0,2018.0,10,0,17,1,0,177000.0,0,9
78,89,68800.0,2020.0,25,0,16,7,0,60000.0,0,9
79,55,37000.0,2008.0,23,0,21,1,0,200000.0,0,9
80,89,72000.0,2020.0,25,0,16,7,0,70000.0,0,9
81,17,30800.0,2017.0,16,0,21,9,0,107000.0,0,9
82,48,30700.0,2018.0,16,0,21,1,0,70000.0,0,9
83,17,23800.0,2018.0,10,0,2,9,0,29000.0,0,9
84,70,15000.0,2017.0,6,1,17,5,1,75000.0,0,9
85,17,19800.0,2016.0,10,1,15,9,1,112000.0,0,9
86,53,6000.0,2003.0,4,0,15,13,0,302000.0,1,9
87,17,15500.0,2015.0,10,0,2,9,0,273588.0,0,9
88,17,32000.0,2023.0,10,0,16,9,0,19000.0,0,9
89,17,23000.0,2022.0,10,0,15,9,0,16000.0,0,9
90,97,9500.0,2008.0,7,1,21,6,0,160000.0,1,9
91,17,23700.0,2017.0,10,0,12,9,0,83000.0,0,9
92,17,24000.0,2020.0,10,0,2,9,0,20000.0,0,9
93,75,9500.0,2007.0,7,0,21,1,0,208000.0,0,9
94,25,180000.0,1985.0,2,0,12,12,0,340000.0,0,49
95,17,16800.0,2018.0,10,0,15,9,0,55000.0,0,9
96,56,53000.0,2021.0,11,0,2,1,0,62.0,0,9
97,37,14200.0,2012.0,9,1,21,6,0,160000.0,1,9
98,3,17500.0,2009.0,16,0,2,6,0,210000.0,1,9
99,0,21999.0,2006.0,18,0,15,1,0,270000.0,0,9
100,75,19300.0,2017.0,10,0,16,1,0,115872.0,0,9
101,48,34000.0,2018.0,16,0,2,1,0,87000.0,0,9
102,75,24900.0,2020.0,10,0,2,1,0,80000.0,0,9
103,17,30500.0,2021.0,10,0,20,9,0,4800.0,0,9
104,48,55000.0,2023.0,10,0,2,1,1,320.0,0,9
105,17,25700.0,2020.0,10,1,15,9,1,66000.0,0,43
106,55,71500.0,2016.0,22,0,16,1,0,53000.0,0,9
107,17,27800.0,2021.0,10,0,2,9,0,71500.0,0,9
108,48,61900.0,2023.0,10,0,21,1,1,10.0,0,9
109,75,24900.0,2018.0,10,0,2,1,0,89000.0,0,9
110,75,15600.0,2017.0,10,0,21,1,0,97555.0,0,9
111,95,5500.0,2002.0,0,0,14,13,0,300000.0,1,9
112,75,25500.0,2020.0,10,0,21,1,0,142000.0,0,9
113,0,36500.0,2017.0,18,0,15,1,0,89000.0,0,9
114,48,34600.0,2017.0,16,0,2,1,0,55000.0,0,9
115,80,29000.0,2018.0,16,0,16,6,0,115000.0,0,9
116,17,24000.0,2017.0,10,1,15,9,1,135000.0,0,9
117,17,32500.0,2020.0,10,0,2,9,0,84000.0,0,9
118,58,7500.0,2002.0,10,0,2,9,0,139000.0,1,9
119,38,28000.0,2008.0,18,0,2,1,0,200000.0,0,9
120,75,24500.0,2022.0,10,0,21,1,0,21157.0,0,9
121,56,57500.0,2020.0,13,0,16,1,2,63000.0,0,9
122,17,15500.0,2012.0,10,0,21,9,0,196000.0,0,9
123,75,19800.0,2017.0,10,0,2,1,0,111044.0,0,9
124,75,19700.0,2018.0,10,0,2,1,0,107423.0,0,9
125,17,14000.0,2016.0,10,0,21,9,0,180000.0,0,9
126,75,17800.0,2017.0,10,0,11,1,0,117482.0,0,9
127,17,24500.0,2018.0,10,0,21,9,0,120000.0,0,9
128,53,6800.0,2003.0,4,0,15,13,0,214000.0,1,9
129,17,15300.0,2012.0,10,0,21,9,0,190000.0,0,9
130,72,13500.0,2017.0,6,0,16,10,1,120700.0,0,9
131,55,95000.0,2019.0,22,0,21,1,0,67000.0,0,9
132,46,11800.0,2004.0,13,0,2,1,0,238000.0,1,9
133,70,17500.0,2018.0,6,0,2,5,1,71500.0,0,9
134,53,6875.0,2003.0,4,0,2,13,0,255000.0,1,9
135,55,29900.0,2008.0,23,0,15,1,0,223000.0,0,9
136,50,11854.0,1997.0,11,0,17,1,0,300000.0,1,43
137,75,36000.0,2020.0,10,0,2,1,1,93341.0,0,9
138,2,8300.0,2003.0,4,0,2,9,0,258145.0,1,57
139,32,13000.0,2006.0,16,0,2,9,0,160000.0,1,50
140,70,10500.0,2011.0,6,0,16,13,1,286000.0,0,9
141,17,26500.0,2018.0,10,0,2,9,0,98000.0,0,9
142,79,110000.0,2024.0,15,0,16,1,1,2400.0,0,46
143,17,27800.0,2018.0,10,0,2,9,0,68000.0,0,43
144,55,14300.0,1992.0,18,0,15,1,0,360000.0,1,9
145,28,7705.0,2003.0,5,2,17,3,0,450000.0,0,61
146,17,12800.0,2013.0,10,0,15,9,0,255000.0,0,9
147,17,8000.0,2003.0,9,0,9,9,0,36338.0,0,43
148,48,25000.0,2015.0,16,0,2,1,0,202777.0,0,9
149,0,19500.0,2006.0,23,0,15,1,0,175000.0,0,43
150,48,56500.0,2024.0,7,0,2,1,0,3.0,0,9
151,18,26500.0,2018.0,10,0,11,9,0,95000.0,0,9
152,75,23000.0,2017.0,10,1,21,1,1,215000.0,0,9
153,17,28900.0,2023.0,10,0,21,9,0,20.0,0,9
154,89,45000.0,2019.0,22,0,16,7,0,217261.0,0,9
155,46,10000.0,2008.0,9,0,21,1,0,220000.0,1,9
156,55,33500.0,2010.0,23,0,15,1,0,240000.0,0,9
157,75,33200.0,2024.0,7,1,2,1,0,1.0,0,9
158,17,25600.0,2018.0,10,1,15,9,1,82000.0,0,9
159,65,5334.0,2005.0,0,0,15,13,0,208409.0,1,9
160,17,18500.0,2016.0,10,0,2,9,0,160000.0,0,9
161,17,7705.0,2003.0,9,2,21,9,0,390000.0,0,9
162,17,9200.0,2003.0,9,0,15,9,0,111222.0,1,9
163,0,34500.0,2020.0,18,0,16,1,0,60000.0,0,9
164,23,35000.0,2010.0,24,0,21,9,0,90000.0,1,9
165,56,35200.0,2016.0,12,0,21,1,2,136000.0,0,9
166,25,5216.0,2006.0,5,2,7,9,0,242065.0,0,13
167,102,8200.0,2003.0,6,0,2,3,0,200000.0,0,9
168,17,24999.0,2018.0,10,1,11,9,1,126000.0,0,43
169,17,33000.0,2023.0,10,0,3,9,0,1058.0,0,9
170,37,12500.0,2000.0,9,0,15,6,0,200000.0,1,9
171,70,23000.0,2019.0,6,0,16,5,1,96560.0,0,9
172,54,14300.0,2005.0,9,0,15,1,0,155000.0,1,9
